superkingdom	kingdom	phylum	ERZ2438864_FASTA	ERZ2439941_FASTA	ERZ2439921_FASTA	ERZ2439850_FASTA	ERZ2439685_FASTA	ERZ2439614_FASTA	ERZ2439520_FASTA	ERZ2439445_FASTA	ERZ2439162_FASTA	ERZ2439085_FASTA	ERZ2439021_FASTA	ERZ2438959_FASTA	ERZ2438832_FASTA	ERZ2438817_FASTA	ERZ2438759_FASTA	ERZ2438717_FASTA	ERZ2438635_FASTA	ERZ2438634_FASTA	ERZ2438728_FASTA	ERZ2438265_FASTA	ERZ2439687_FASTA	ERZ2439444_FASTA	ERZ2438999_FASTA	ERZ2438795_FASTA	ERZ2438688_FASTA	ERZ2438675_FASTA	ERZ2438351_FASTA	ERZ2438179_FASTA	ERZ2438567_FASTA	ERZ2438528_FASTA	ERZ2438526_FASTA	ERZ2438470_FASTA	ERZ2438431_FASTA	ERZ2438352_FASTA	ERZ2439833_FASTA	ERZ2438394_FASTA	ERZ2438316_FASTA	ERZ2438274_FASTA	ERZ2438226_FASTA	ERZ2438315_FASTA	ERZ2438211_FASTA	ERZ2438101_FASTA	ERZ2437995_FASTA	ERZ2438138_FASTA	ERZ2438085_FASTA	ERZ2438040_FASTA	ERZ2438038_FASTA	ERZ2437909_FASTA	ERZ2437751_FASTA	ERZ2437682_FASTA	ERZ2438390_FASTA	ERZ2437994_FASTA	ERZ2437940_FASTA	ERZ2437839_FASTA	ERZ2437464_FASTA	ERZ2439383_FASTA	ERZ2439328_FASTA	ERZ2439304_FASTA	ERZ2439179_FASTA	ERZ2437615_FASTA	ERZ2437551_FASTA	ERZ2439743_FASTA	ERZ2439254_FASTA	ERZ2437944_FASTA	ERZ2437780_FASTA	ERZ2437723_FASTA	ERZ2437646_FASTA	ERZ2437540_FASTA	ERZ2437499_FASTA	ERZ2438929_FASTA	ERZ2438579_FASTA	ERZ2438473_FASTA	ERZ2439780_FASTA	ERZ2439613_FASTA	ERZ2439511_FASTA	ERZ2439387_FASTA	ERZ2439084_FASTA	ERZ2438880_FASTA	ERZ2437588_FASTA	ERZ2437700_FASTA	ERZ12300801_FASTA	ERZ12300705_FASTA	ERZ12301010_FASTA	ERZ12300709_FASTA	ERZ12300701_FASTA	ERZ12300648_FASTA	ERZ12300561_FASTA	ERZ12300984_FASTA	ERZ12300886_FASTA	ERZ12300862_FASTA	ERZ12301069_FASTA	ERZ12300893_FASTA	ERZ12300674_FASTA	ERZ12300646_FASTA	ERZ12300644_FASTA	ERZ12300638_FASTA	ERZ12300624_FASTA	ERZ12300606_FASTA	ERZ12300591_FASTA	ERZ12300587_FASTA	ERZ12300579_FASTA	ERZ12300550_FASTA	ERZ12300542_FASTA	ERZ12301110_FASTA	ERZ12301029_FASTA	ERZ12300917_FASTA	ERZ12300824_FASTA	ERZ12300775_FASTA	ERZ12300751_FASTA	ERZ12300722_FASTA	ERZ12300713_FASTA	ERZ12300696_FASTA	ERZ12300690_FASTA	ERZ12300663_FASTA	ERZ12300661_FASTA	ERZ12300651_FASTA	ERZ12300533_FASTA	ERZ12300519_FASTA	ERZ12300479_FASTA	ERZ12300451_FASTA	ERZ12300306_FASTA	ERZ12300683_FASTA	ERZ12300669_FASTA	ERZ12300660_FASTA	ERZ12300655_FASTA	ERZ12300484_FASTA	ERZ12300482_FASTA	ERZ12300643_FASTA	ERZ12300631_FASTA	ERZ12300622_FASTA	ERZ12300612_FASTA	ERZ12300609_FASTA	ERZ12300593_FASTA	ERZ12300590_FASTA	ERZ12300589_FASTA	ERZ12300588_FASTA	ERZ12300582_FASTA	ERZ12300580_FASTA	ERZ12300578_FASTA	ERZ12300560_FASTA	ERZ12300556_FASTA	ERZ12300524_FASTA	ERZ12300472_FASTA	ERZ12300464_FASTA	ERZ12300444_FASTA	ERZ12300423_FASTA	ERZ12300418_FASTA	ERZ12300415_FASTA	ERZ12300400_FASTA	ERZ12300385_FASTA	ERZ12300377_FASTA	ERZ12300366_FASTA	ERZ12300349_FASTA	ERZ12300553_FASTA	ERZ12300541_FASTA	ERZ12300518_FASTA	ERZ12300516_FASTA	ERZ12300512_FASTA	ERZ12300511_FASTA	ERZ12300502_FASTA	ERZ12300495_FASTA	ERZ12300277_FASTA	ERZ12300452_FASTA	ERZ12300446_FASTA	ERZ12300420_FASTA	ERZ12300419_FASTA	ERZ12300393_FASTA	ERZ12300389_FASTA	ERZ12300378_FASTA	ERZ12300373_FASTA	ERZ12300367_FASTA	ERZ12300352_FASTA	ERZ12300350_FASTA	ERZ12300341_FASTA	ERZ12300340_FASTA	ERZ12300329_FASTA	ERZ12300320_FASTA	ERZ12300311_FASTA	ERZ12300310_FASTA	ERZ12300302_FASTA	ERZ16303195_FASTA	ERZ16293714_FASTA	ERZ16307025_FASTA	ERZ16303046_FASTA	ERZ12300700_FASTA	ERZ12300680_FASTA	ERZ12300621_FASTA	ERZ12300358_FASTA	ERZ12300892_FASTA	ERZ12300698_FASTA	ERZ12300671_FASTA	ERZ12300657_FASTA	ERZ12300616_FASTA	ERZ12300528_FASTA	ERZ12300467_FASTA	ERZ12300428_FASTA	ERZ12300387_FASTA	ERZ12300269_FASTA	ERZ12300422_FASTA	ERZ12300332_FASTA	ERZ12300304_FASTA
Bacteria	Unassigned	Candidatus_Kerfeldbacteria	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria	Unassigned	Candidatus_Marinimicrobia	1	4	1	3	4	4	3	1	1	2	3	4	1	2	3	1	1	2	3	2	3	3	5	0	3	1	4	2	1	2	3	5	2	4	3	1	4	3	1	3	2	3	4	1	2	2	0	3	1	3	1	2	2	3	0	4	3	1	2	2	3	1	1	5	2	2	1	6	1	5	3	5	1	3	1	4	2	2	2	2	5	0	0	1	1	3	4	2	1	4	2	1	1	1	3	2	1	2	0	0	1	1	2	2	4	2	3	3	5	0	3	3	3	2	7	2	2	3	2	3	2	1	2	1	4	2	1	2	0	1	2	2	4	4	4	7	2	2	0	2	2	4	4	4	0	4	4	1	4	3	2	3	4	4	2	1	5	2	6	1	7	3	0	3	1	3	4	2	4	3	0	2	3	5	1	2	3	1	1	6	12	4	12	10	2	0	2	0	2	1	1	2	2	3	5	2	5	3	2	5	0
Bacteria	Unassigned	Candidatus_Omnitrophica	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria	Unassigned	Candidatus_Peregrinibacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria	Unassigned	Candidatus_Poribacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria	Unassigned	Candidatus_Saccharibacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria	Unassigned	Candidatus_Uhrbacteria	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria	Unassigned	Candidatus_Wolfebacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria	Unassigned	Chlamydiae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria	Unassigned	Chlorobi	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
